year	month	day	symbol	nav
2005	2	22	SPK00	0.68961
2005	2	23	SPK00	0.68961
2005	2	24	SPK00	0.68961
2005	2	25	SPK00	0.68961
2005	2	26	SPK00	0.68961
2005	2	27	SPK00	0.68961
2005	2	28	SPK00	0.68961
2005	3	1	SPK00	0.68961
2005	3	2	SPK00	0.68897
2005	3	3	SPK00	0.68961
2005	3	4	SPK00	0.69025
2005	3	5	SPK00	0.68961
2005	3	6	SPK00	0.68961
2005	3	7	SPK00	0.69089
2005	3	8	SPK00	0.69089
2005	3	9	SPK00	0.69025
2005	3	10	SPK00	0.69025
2005	3	11	SPK00	0.69025
2005	3	12	SPK00	0.69025
2005	3	13	SPK00	0.69025
2005	3	14	SPK00	0.68961
2005	3	15	SPK00	0.69025
2005	3	16	SPK00	0.69025
2005	3	17	SPK00	0.69025
2005	3	18	SPK00	0.69025
2005	3	19	SPK00	0.69025
2005	3	20	SPK00	0.69025
2005	3	21	SPK00	0.68961
2005	3	22	SPK00	0.68961
2005	3	23	SPK00	0.68961
2005	3	24	SPK00	0.68961
2005	3	25	SPK00	0.68961
2005	3	26	SPK00	0.68961
2005	3	27	SPK00	0.68961
2005	3	28	SPK00	0.68961
2005	3	29	SPK00	0.68961
2005	3	30	SPK00	0.69025
2005	3	31	SPK00	0.69025
2005	4	1	SPK00	0.69152
2005	4	2	SPK00	0.69025
2005	4	3	SPK00	0.69025
2005	4	4	SPK00	0.69089
2005	4	5	SPK00	0.69152
2005	4	6	SPK00	0.69152
2005	4	7	SPK00	0.69152
2005	4	8	SPK00	0.69216
2005	4	9	SPK00	0.69152
2005	4	10	SPK00	0.69152
2005	4	11	SPK00	0.69216
2005	4	12	SPK00	0.69216
2005	4	13	SPK00	0.69216
2005	4	14	SPK00	0.69216
2005	4	15	SPK00	0.6928
2005	4	16	SPK00	0.69216
2005	4	17	SPK00	0.69216
2005	4	18	SPK00	0.6928
2005	4	19	SPK00	0.69216
2005	4	20	SPK00	0.69216
2005	4	21	SPK00	0.6928
2005	4	22	SPK00	0.6928
2005	4	23	SPK00	0.6928
2005	4	24	SPK00	0.6928
2005	4	25	SPK00	0.69344
2005	4	26	SPK00	0.69344
2005	4	27	SPK00	0.69344
2005	4	28	SPK00	0.69408
2005	4	29	SPK00	0.69344
2005	4	30	SPK00	0.69408
2005	5	1	SPK00	0.69408
2005	5	2	SPK00	0.69408
2005	5	3	SPK00	0.69408
2005	5	4	SPK00	0.69408
2005	5	5	SPK00	0.69408
2005	5	6	SPK00	0.69408
2005	5	7	SPK00	0.69408
2005	5	8	SPK00	0.69408
2005	5	9	SPK00	0.69344
2005	5	10	SPK00	0.69408
2005	5	11	SPK00	0.69472
2005	5	12	SPK00	0.69472
2005	5	13	SPK00	0.69472
2005	5	14	SPK00	0.69472
2005	5	15	SPK00	0.69472
2005	5	16	SPK00	0.69472
2005	5	17	SPK00	0.69472
2005	5	18	SPK00	0.69472
2005	5	19	SPK00	0.69472
2005	5	20	SPK00	0.69472
2005	5	21	SPK00	0.69472
2005	5	22	SPK00	0.69472
2005	5	23	SPK00	0.69472
2005	5	24	SPK00	0.69536
2005	5	25	SPK00	0.696
2005	5	26	SPK00	0.696
2005	5	27	SPK00	0.696
2005	5	28	SPK00	0.696
2005	5	29	SPK00	0.696
2005	5	30	SPK00	0.696
2005	5	31	SPK00	0.696
2005	6	1	SPK00	0.69664
2005	6	2	SPK00	0.69728
2005	6	3	SPK00	0.69792
2005	6	4	SPK00	0.69728
2005	6	5	SPK00	0.69728
2005	6	6	SPK00	0.69792
2005	6	7	SPK00	0.69855
2005	6	8	SPK00	0.69919
2005	6	9	SPK00	0.69919
2005	6	10	SPK00	0.69919
2005	6	11	SPK00	0.69919
2005	6	12	SPK00	0.69919
2005	6	13	SPK00	0.69919
2005	6	14	SPK00	0.69855
2005	6	15	SPK00	0.69855
2005	6	16	SPK00	0.69728
2005	6	17	SPK00	0.69728
2005	6	18	SPK00	0.69728
2005	6	19	SPK00	0.69728
2005	6	20	SPK00	0.69792
2005	6	21	SPK00	0.69919
2005	6	22	SPK00	0.69983
2005	6	23	SPK00	0.69919
2005	6	24	SPK00	0.69919
2005	6	25	SPK00	0.69919
2005	6	26	SPK00	0.69919
2005	6	27	SPK00	0.70047
2005	6	28	SPK00	0.70047
2005	6	29	SPK00	0.70047
2005	6	30	SPK00	0.69983
2005	7	1	SPK00	0.70047
2005	7	2	SPK00	0.69983
2005	7	3	SPK00	0.69983
2005	7	4	SPK00	0.69983
2005	7	5	SPK00	0.69983
2005	7	6	SPK00	0.69919
2005	7	7	SPK00	0.69983
2005	7	8	SPK00	0.69983
2005	7	9	SPK00	0.69983
2005	7	10	SPK00	0.69983
2005	7	11	SPK00	0.69983
2005	7	12	SPK00	0.69983
2005	7	13	SPK00	0.69919
2005	7	14	SPK00	0.69919
2005	7	15	SPK00	0.69919
2005	7	16	SPK00	0.69919
2005	7	17	SPK00	0.69919
2005	7	18	SPK00	0.69983
2005	7	19	SPK00	0.69919
2005	7	20	SPK00	0.69919
2005	7	21	SPK00	0.69919
2005	7	22	SPK00	0.69983
2005	7	23	SPK00	0.69919
2005	7	24	SPK00	0.69919
2005	7	25	SPK00	0.70047
2005	7	26	SPK00	0.69983
2005	7	27	SPK00	0.70047
2005	7	28	SPK00	0.69983
2005	7	29	SPK00	0.70047
2005	7	30	SPK00	0.69983
2005	7	31	SPK00	0.69983
2005	8	1	SPK00	0.69983
2005	8	2	SPK00	0.69919
2005	8	3	SPK00	0.69919
2005	8	4	SPK00	0.69919
2005	8	5	SPK00	0.69855
2005	8	6	SPK00	0.69919
2005	8	7	SPK00	0.69919
2005	8	8	SPK00	0.69855
2005	8	9	SPK00	0.69855
2005	8	10	SPK00	0.69919
2005	8	11	SPK00	0.69919
2005	8	12	SPK00	0.69983
2005	8	13	SPK00	0.69919
2005	8	14	SPK00	0.69919
