day	month	year	symbol	nav
08	7	2013	SPK00	0.88054
09	7	2013	SPK00	0.88137
10	7	2013	SPK00	0.88131
11	7	2013	SPK00	0.88171
12	7	2013	SPK00	0.88216
13	7	2013	SPK00	0.88171
14	7	2013	SPK00	0.88171
15	7	2013	SPK00	0.88191
16	7	2013	SPK00	0.88245
17	7	2013	SPK00	0.8824
18	7	2013	SPK00	0.88293
19	7	2013	SPK00	0.88332
20	7	2013	SPK00	0.88293
21	7	2013	SPK00	0.88293
22	7	2013	SPK00	0.88343
23	7	2013	SPK00	0.8833
24	7	2013	SPK00	0.8827
25	7	2013	SPK00	0.88257
26	7	2013	SPK00	0.8828
27	7	2013	SPK00	0.88257
28	7	2013	SPK00	0.88257
29	7	2013	SPK00	0.88292
30	7	2013	SPK00	0.88281
31	7	2013	SPK00	0.88298
01	8	2013	SPK00	0.88328
02	8	2013	SPK00	0.88292
03	8	2013	SPK00	0.88328
04	8	2013	SPK00	0.88328
05	8	2013	SPK00	0.88305
06	8	2013	SPK00	0.88304
07	8	2013	SPK00	0.88308
08	8	2013	SPK00	0.88331
09	8	2013	SPK00	0.88352
10	8	2013	SPK00	0.88331
11	8	2013	SPK00	0.88331
12	8	2013	SPK00	0.88353
13	8	2013	SPK00	0.8829
14	8	2013	SPK00	0.88275
15	8	2013	SPK00	0.88225
16	8	2013	SPK00	0.88227
17	8	2013	SPK00	0.88225
18	8	2013	SPK00	0.88225
19	8	2013	SPK00	0.8818
20	8	2013	SPK00	0.88227
21	8	2013	SPK00	0.88107
22	8	2013	SPK00	0.88033
23	8	2013	SPK00	0.88004
24	8	2013	SPK00	0.88033
25	8	2013	SPK00	0.88033
26	8	2013	SPK00	0.88057
27	8	2013	SPK00	0.88076
28	8	2013	SPK00	0.88087
29	8	2013	SPK00	0.88072
30	8	2013	SPK00	0.88105
31	8	2013	SPK00	0.88072
01	9	2013	SPK00	0.88072
02	9	2013	SPK00	0.88069
03	9	2013	SPK00	0.88062
04	9	2013	SPK00	0.8805
05	9	2013	SPK00	0.87961
06	9	2013	SPK00	0.8801
07	9	2013	SPK00	0.87961
08	9	2013	SPK00	0.87961
09	9	2013	SPK00	0.8799
10	9	2013	SPK00	0.87936
11	9	2013	SPK00	0.87959
12	9	2013	SPK00	0.88009
13	9	2013	SPK00	0.88019
14	9	2013	SPK00	0.88009
15	9	2013	SPK00	0.88009
16	9	2013	SPK00	0.88075
17	9	2013	SPK00	0.88074
18	9	2013	SPK00	0.88043
19	9	2013	SPK00	0.88225
20	9	2013	SPK00	0.88183
21	9	2013	SPK00	0.88225
22	9	2013	SPK00	0.88225
23	9	2013	SPK00	0.88208
24	9	2013	SPK00	0.88262
25	9	2013	SPK00	0.88253
26	9	2013	SPK00	0.88244
27	9	2013	SPK00	0.88275
28	9	2013	SPK00	0.88244
29	9	2013	SPK00	0.88244
30	9	2013	SPK00	0.88244
01	10	2013	SPK00	0.88254
02	10	2013	SPK00	0.88263
03	10	2013	SPK00	0.88296
04	10	2013	SPK00	0.88274
05	10	2013	SPK00	0.88296
06	10	2013	SPK00	0.88296
07	10	2013	SPK00	0.88322
08	10	2013	SPK00	0.88314
09	10	2013	SPK00	0.88338
10	10	2013	SPK00	0.8831
11	10	2013	SPK00	0.88336
12	10	2013	SPK00	0.8831
13	10	2013	SPK00	0.8831
14	10	2013	SPK00	0.88332
15	10	2013	SPK00	0.88321
16	10	2013	SPK00	0.88284
17	10	2013	SPK00	0.88362
18	10	2013	SPK00	0.88422
19	10	2013	SPK00	0.88362
20	10	2013	SPK00	0.88362
21	10	2013	SPK00	0.88427
22	10	2013	SPK00	0.8845
23	10	2013	SPK00	0.88507
24	10	2013	SPK00	0.88526
25	10	2013	SPK00	0.88542
26	10	2013	SPK00	0.88526
27	10	2013	SPK00	0.88526
28	10	2013	SPK00	0.88546
29	10	2013	SPK00	0.88554
30	10	2013	SPK00	0.88623
31	10	2013	SPK00	0.88682
01	11	2013	SPK00	0.88698
02	11	2013	SPK00	0.88682
03	11	2013	SPK00	0.88682
04	11	2013	SPK00	0.88708
05	11	2013	SPK00	0.88652
06	11	2013	SPK00	0.88643
07	11	2013	SPK00	0.88699
